"MTICD","MTICD_NAME","MTICD_ENG_NAME","MTICD_DC","MTICD_ENG_DC"
"824900","기타가정용회전(rotary electric)기기","other rotary consumer appliance"," 공기청정기, 기타가정용회전, 바닥광택기, 얼음분쇄기, 커피분쇄기, 빙삭기, 빙수기계, 빙수기 "," other rotary electric, coffeegrinder, icegrinder, ice crusher "
"825100","난방기기","apparatus heating"," 난방기기, 라디에이터, 온풍기, 열풍기, 바스히터, 오일히터, 전기히터, 선풍기형히터 "," apparatus heating, heater, storage, apparatus, immersionheater, radiator "
"825200","전기다리미","electric iron"," 기타전기다리미, 전기다리미, 스팀다리미 "," steamiron, electriciron "
"825300","헤어드라이어","hair dryer"," 헤어드라이어, 헤어드라이기 "," hairdryer, hair dryer "
"825400","전자레인지","microwave range"," 전자레인지, 전자렌지 "," microwave "
"825500","전기밥솥","electric cooker rice"," 전기밥솥 "," ricecooker, electricricecooker "
"825600","보온밥통","jar electric"," 보온밥통, 전기보온밥통 "," thermal ricecontainer "
"825700","토우스터","toaster"," 토우스터기, 토스터기, 토스터, 전기토스터 "," toaster, electrictoaster "
"825800","난방및전열기기부품","apparatus part appliance electro-thermic and heating of space"," 난방및전열기기부품, 난방및전열기기부분품 "," part heat "
"825900","기타난방및전열기기","apparatus other appliance electro-thermic and heating space"," 기타난방기, 난방전열기기, 난방기기, 전기오븐, 커피머신, 온수매트, 전기장판, 커피포트, 커피메이커, 전기매트, 전기주전자, 에어프라이어, 인덕션 "," other eletric heater, thermicheating, electricmat, electricpad, electric kettle "
"826100","전구","bulb electric"," 백열등, 백열램프, 수은램프, 아크램프, 엘이디전구, LED전구, 자동차램프, 장치수은램프, 할로겐등, 형광등, 삼파장등 "," bulb electric, lamp, bulb, halogenlamp, backlighting "
"826200","전구부품","electric part bulb"," 전구부분품, 전구부품, 필라멘트, 탐조등 "," part bulb, filament "
"826920","기타조명기기 기타조명기기부품","apparatus other part lighting of"," 기타조명기기, 기타조명기기부품, 기타조명기기부분품 "," other lighting part "
"827210","전자게임기","electronic games"," 전자게임기, 전자게임 "," electronic games game "
"827220","전자게임기 전자게임기부품","electronic of games part"," 전자게임기부품, 전자게임기부분품 "," electronic games part "
"831120","프로세스와 집적회로반도체 콘트롤러","semiconductor computer central processing unit circuit integrated"," 반도체제조용프로세스, 복합구조칩, 모노리식집적회로, 마이크로콘트롤러, 하이브리드직접회로, 디지털신호처리기 "," monolithic integrated circuits, processors and controllers "
"829200","기타가정용전자부품","other part electronic articles of household"," 기타가정용전자부품 "," other part electronic "
"831130","집적회로반도체 증폭기","semiconductor circuit integrated"," 모노리식집적회로, 마이크로콘트롤러, 하이브리드직접회로, 증폭기 "," monolithic integrated circuits, amplifier "
"831190","집적회로반도체 기타집적회로반도체","other semiconductor circuit integrated"," 모노리식집적회로, 마이크로콘트롤러, 하이브리드직접회로, 스마트카드 "," monolithic integrated circuits, smartcard "
"831390","기타개별소자반도체 개별소자반도체","individual device semiconductor otherindividual device semiconductor"," 사이리스터, 개별소자반도체, 기타개별소자반도체, 다이액, 트라이액, 레이저소자, 광전도셀, 광전지, 태양전지, 전하결합소자 "," thyristor, diac, triac, solarcell "
"829100","기타가정용전자","electronic other household articles"," 기타가정용전자, 면도기, 모발제거기, 미용기기, 쓰레기처리기, 가습공기청정기, 제습공기청정기, 오존발생기, 이발기, 이온정수기, 전화응답기, 도마살균기, 음식물쓰레기처리기, 음식물처리기, 음파진동칫솔, 자외선살균기, 자외선소독기, 전기머리인두기, 전동칫솔, 마사지기, 살균기, 안마기, 안마의자, 고데기, 제습기, 뷰티장비 "," airpurifier, hairdressing, telephoneanswering, kitchenwastedisposers, shavers, hairclipper, ozonegenerator "
"731190","기타시계 시계","other watches watch and clocks"," 기타시계, 시계 "," other watches, watch and clocks "
"731200","시계부품","watch part"," 시계부속품, 시계부품, 시계밴드, 다이얼, 핸즈, 싸이클롭스, 용두, 브레이슬릿, 테프론 "," watch part, watchbattery "
"733100","의료용기기","medical instruments"," 엑스레이, 의료기계, 의료기기, 의료용기기, 의료장비, 의료측정기, 의료장비, 척추의료기기, 치과기기, 치과장비, 치료기, 초음파흡입기, 의료용카메라, 재활보조기기, 휠체어, 전동상하지운동기 "," medical instruments, medicalcamera, rehabilitation equipment "
"733200","의료용기기부품","medical part instruments of part of medical instruments"," 의료용기기부속품, 의료용기기부품, 치과기자재, 인공관절, 인공뼈, 인공치아 "," part of medical instruments, artificialjoint, artificialbone, artificialteeth "
"734100","설계제도기","plotter"," 제도판, 설계제도기, 디바이더, 컴퍼스 "," plotter, compasses, divider "
"734200","설계제도기부품","components plotter"," 설계제도기부품 "," components plotter, compasses, divider "
"735100","토지측량기","instrument surveying"," 토지측량기 "," landsurveying, rangefinder "
"735200","토지측량기부품","instrument part surveying"," 토지측량기부품 "," landsurveying, rangefinder "
"736200","디스플레이 부품 평판 장비","Of subheading 8486.30.1000"," 디스플레이, 디스플레이패널제조용장비, 평판디스플레이 "," display "
"741150","불꽃점화식 1,500시시 승용차 이하","car passenger"," 1500시시이하, 1500cc이하, 불꽃점화식, 승용차, 자동차, 중고자동차, 중고차, 휘발유자동차, LPG자동차, 가솔린자동차 "," car, passengercar, gasolinecar "
"741160","불꽃점화식 1,500시시 초과 승용차","car passenger"," 1500시시초과, 1500cc초과, 불꽃점화식, 승용차, 자동차, 중고자동차, 중고차, 휘발유자동차, LPG자동차, 가솔린자동차  "," car, passengercar, gasolinecar "
"741170","2,500시시 압축점화식 승용차 이하","car passenger"," 2500시시이하, 2500cc이하, 압축점화식, 경유자동차, 디젤자동차, 승용차, 자동차, 중고자동차, 중고차 "," car, passengercar, van, ambulance, dieselcar "
"741180","승용차 2,500시시 압축점화식 초과","car passenger"," 2500시시초과, 2500cc초과, 압축점화식, 경유자동차, 디젤자동차, 승용차, 자동차, 중고자동차, 중고차 "," car, passengercar, dieselcar "
"741190","승용차 기타승용차","car other passenger"," 골프용차, 기타승용차, 승용차, 자동차, 중고자동차, 중고차, 차량, 카, 사륜차 "," car ,other passengercar, golfcar "
"741200","화물자동차","motor the goods transport for vehicles of"," 화물자동차, 짐자동차, 화물운송차, 트럭 "," truck, car, motortruck, motorlorry, lorry "
"741300","특장차","motor vehicles special purpose"," 구난차, 급유차, 도로청소차, 레이더차, 살포차, 소방차, 운반차, 이동공작차, 이동방송차, 이동진료차, 이동통신차, 제설차, 특장차, 펌프카 "," crane, garbagetruck, ambulance, bowser, snowplow "
"741400","전기자동차","New Other vehicles,"," 전기자동차, 전기중고차 "," electric motor vehicle "
"741900","기타자동차","other automobile"," 건설중장비차, 기타자동차, 마차, 손수레, 수레, 수송장비차, 열차, 우마차, 전동차, 짐마차, 트랙터, 경운기 "," other automobile, truck, tractor, caravan, tanker, trailer, automobile, trailer, vehicle, cultivator "
"742010","자동차용내연기관 자동차부품","part automobile"," 자동차용내연기관, 자동차부품, 자동차내연기관, 차량용내연기관 "," part automobile "
"742130","차량용 모터 차량용구동모터","Of an output"," 모터, 구동모터, 차량용모터, 차량용구동모터, 해머링장치 "," motor, hammering "
"743110","이륜차 모터사이클","vehicle motorcycle two-wheeled"," 스쿠터, 모터사이클, 이륜차, 사이클, 자전거, 오토바이, 바이크 "," vehicle motorcycle, two-wheeled motorcycle, bycycle, bike, motorbike, scooter "
"743190","이륜차 기타이륜차","other vehicle two-wheeled"," 이륜차, 기타이륜차, 모페드 "," other vehicle two-wheeled vehicle, moped "
"743200","이륜차부품","vehicle part two-wheeled"," 이륜차부품, 이륜차안장, 이륜차부분품 "," vehicle part two-wheeled, saddle "
"743300","자전거","bicycle"," 경기용자전거, 사이클, 삼륜자전거, 자전거, 차량자전거, 세발자전거 "," bicycle, tricycle "
"743400","자전거부품","part bicycle"," 수레, 스포크, 자전거안장, 자전거부품, 자전거페달, 자전거프레임, 자전거휠 "," part bicycle, coaster, bicyclesaddle, bicyclepedal, crankgear "
"744100","철도차량","railway vehicle"," 객차, 궤도검사차, 수하물차, 열차, 전기기관차, 전동열차, 전차, 전철, 철도차량 "," railway vehicle "
"744200","철도차량부품","vehicle part railway"," 기관차의철도용부품, 철도내연기관, 철도차량부분품, 철도연결장치, 연계완충기용부품, 완충장치, 윤축, 철도부품, 철도차부품, 철도차량용 "," vehicle part railway, railwayengine "
"745100","엘리베이터","elevator"," 뉴매틱엘리베이터, 엘리베이터 "," elevator conveyor "
"745200","에스컬레이터","escalator"," 에스컬레이터, 에스컬레이러, 에스칼레이터 "," escalator "
"746110","여객선 선박","boat vessel passenger"," 배, 본선, 선박, 여객선 "," boat vessel, cruise, passengership "
"746120","화물선 선박","vessel cargo ship"," 본선, 상선, 선박, 화객선, 화물선, 유조선 "," vessel, cargoship, freightvessel, transport "
"721200","재봉기","sewingmachine"," 바늘재봉기용기기, 재봉기, 재봉용기기, 재봉틀 "," sewingmachine "
"721300","피혁가공기계","machinery for workingleather"," 피혁가공기계, 유피기계, 유피준비기계, 피혁가공기기 "," machinery for working leather "
"721510","고무플라스틱가공기계","machinery for workingrubberorplastics"," 플라스틱가공기계, 고무플라스틱가공기계, 사출성형기 "," machinery for working rubber or plastics machine "
"812810","안테나 무선통신기기부품","Apparatus Wireless Part antenna Communication of"," 레이더기기용안테나, 무선통신기기, 무선통신기기부품, 안테나, 무선통신장비 "," apparatus wireless part, antenna, radiotelegraphy "
"812890","기타무선통신기기부품 무선통신기기부품","apparatus other Apparatus Wireless part communication radio Part Communication of"," 기타무선통신기기부품, 무선디지털카메라모니터시스템, 무선통신기기, 무선통신기기부품 "," apparatus other apparatus wireless part communication radio part, radar, transmission "
"813110","컴퓨터 휴대용컴퓨터","computer portable"," 컴퓨터, 휴대용컴퓨터, 아이패드, 노트북, 랩탑 "," computer portable, ipad, galaxytab, laptop "
"813120","개인용컴퓨터 컴퓨터","computer personal"," 개인용컴퓨터, 기타개인용컴퓨터, 컴퓨터 "," computer personal, PC "
"813210","보조기억장치 FDD","memory FDD secondary unit"," 보조기억장치, 플로피디스크 "," memory fdd secondary unit "
"813220","HDD 보조기억장치","memory HDD secondary unit"," 보조기억장치, 하드디스크 "," memory hdd secondary unit "
"813230","CDD 보조기억장치","memory CDD secondary unit"," 보조기억장치 "," memory cdd secondary unit "
"813240","보조기억장치 DVD","memory DVD secondary unit"," 디브이디, 보조기억장치 "," memory dvd secondary unit, dvd "
"813250","보조기억장치 광디스크드라이브","optical discdrive memory secondary unit"," 광디스크드라이브, 기타보조기억장치, 보조기억장치 "," discdrive optical memory secondary unit "
"813260","보조기억장치 블루레이디스크드라이브","discdrive memory blu-ray secondary unit"," 드라이브, 디스크, 보조기억장치, 보조기억장치디스크, 블루레이디스크드라이브 "," discdrive memory bluray secondary unit "
"813290","기타보조기억장치 보조기억장치","memory other secondary unit"," 기타보조기억장치, 보조기억장치 "," memory other secondary unitunit, storage, memory "
"813310","프린터 레이저프린터","printer laser"," 레이저프린터, 프린터 "," laserprinter, printer "
"813320","프린터 도트프린터","printer dot"," 도트프린터 "," dotprinter "
"813330","잉크젯프린터 프린터","printer ink-jet"," 잉크젯프린터, 프린터 "," inkjet printer "
"813390","프린터 기타프린터","printer other"," 기타프린터, 프린터 "," printer "
"813410","단말기 음극선관 모니터","CRT terminals monitor"," 모니터단말기, 음극선관모니터 "," crt terminals monitor "
"813420","데이터디스플레이장치 모니터","data display monitor"," 데이터디스플레이장치, 모니터, 빔프로젝터 "," data display monitor, beam projector "
"813510","스캐너 컴퓨터주변기기","computer scanner peripheral device"," 스캐너, 컴퓨터주변기기 "," scanner "
"813520","키입력장치 컴퓨터주변기기","keyboard computer peripheral device"," 키입력장치, 컴퓨터주변기기, 키보드 "," computer keyboard "
"813530","컴퓨터주변기기 마우스","computer peripheral device mouse"," 마우스, 컴퓨터주변기기 "," computer peripheral device mouse "
"813590","기타컴퓨터주변기기 컴퓨터주변기기","other computer peripheral device"," 기타컴퓨터주변기기, 컴퓨터주변기기, 랜선 "," other computer peripheral device, videotex "
"725190","기타건설중장비 건설중장비","other heavy equipment for construction heavy equipment for construction"," 건설광산기계, 건설기계, 건설장비, 건설중장비, 굴착기, 기타건설중장비, 스크래퍼, 시굴용기계, 시추기, 유압브레이커, 중장비용기계, 천공용기계, 축조 "," other heavy equipment for construction , angledozer, track, backhoe "
"813610","컴퓨터부품 메인보드","mother board part computer main of board,"," 메인보드, 컴퓨터부품, 컴퓨터용부품 "," mainboard, computermainboard "
"813690","기타컴퓨터부품 컴퓨터부품","computer part other"," 기타컴퓨터부품, 자기헤드, 컴퓨터부품 "," computer part other "
"813700","소프트웨어","software"," 사물인터넷, 소프트웨어, 스마트팜운영소프트웨어, 온라인게임, 키즈노트앱, 게임소프트웨어, 온라인게임 "," software, software computer "
"813800","전산기록매체","data recorder"," 전산기록매체, 메모리카드 "," data recorder, memorycard "
"814110","교통신호기","Equipment Traffic Control"," 교통신호기, 교통신호 "," equipment traffic control "
"814120","교통신호기부품 교통신호기","Traffic Part Equipment of Control"," 교통신호기, 교통신호기부품, 교통신호기부분품 "," traffic part equipment of control "
"814210","경보신호기 도난경보기","alarm burglar signalling equipment"," 경보신호기, 도난경보기 "," alarm burglar signalling equipment "
"814220","경보신호기 가스경보기","alarm other signalling equipment"," 가스경보기, 경보신호기 "," alarm other signalling equipment "
"814230","경보신호기 화재경보기","alarm fire signalling equipment"," 경보신호기, 화재경보기 "," alarm fire signalling equipment "
"814240","경보신호기 경보신호기부품","part equipment signalling alarm of"," 경보신호기, 경보신호기부품, 불꽃감지기 "," part equipment signalling alarm  "
"814290","경보신호기 기타경보신호기","alarm other signalling equipment"," 경보신호기, 기타경보신호기, 벨, 사이렌, 싸이렌, 비상등, 신호등, 불꽃신호기 "," alarm other signalling equipment, firealarm, buzzer, emergencylight, trafficlight "
"725110","건설중장비 불도저","bulldozer heavy equipment for construction"," 건설장비, 건설중장비, 굴착기, 불도우저, 불도저 "," bulldozer heavy equipment for construction "
"725120","건설중장비 지게차","fork-lifttruck heavy equipment for construction"," 건설중장비, 지게차, 포크리프트 "," forklift, truck heavy equipment for construction "
"725130","건설중장비 건설중장비부품","partofheavy equipment for construction heavy equipment for construction"," 건설중장비부품, 유압브레이커, 크러셔, 배관, 휠로더 "," part of heavy equipment for construction, excavator, shovel "
"727400","인쇄기계","printing machine"," 인쇄기계, 인쇄기기 "," printing machine "
"725210","광산기계","mining machine"," 광산기계, 플랜트, 광산기기 "," mining machine "
"725220","광산기계부품 광산기계","mining machine partofmining machine"," 광산기계, 광산기계부품, 광산기계부분품 "," part of mining machine "
"726110","압연기","rollingmill"," 압연기 "," rolling mill "
"726120","압연기부품 압연기","partofrollingmill rollingmill"," 압연기부분품, 압연기, 압연기부품 "," part of rolling mill "
"726210","용접기 로보트형용접기","weldingmachine robot type welding machine"," 로보트형용접기, 용접기 "," welding machine "
"726220","용접기 전기용접기","weldingmachine arc welding machine"," 교류아크, 용접기기, 전기용접기 "," weldingmachine arc welding machine "
"726230","용접기부품 용접기","weldingmachine part of welding machine"," 용접기, 용접기부품 "," part of welding machine "
"726290","기타용접기 용접기","weldingmachine other welding machine"," 기타용접기, 용접기, 레이저용접기, 취관, 취관자동절단기 "," other welding machine, weldingmachine "
"726310","주조설비","castingequipment"," 다이케스팅, 주조설비, 주조설비전로, 전로 "," casting equipment, diecasting "
"726330","주조설비부품 주조설비","castingequipment part of casting equipment"," 주조설비, 주조설비부품 "," part of casting equipment "
"727100","제지기계","paper making machine"," 쇄목기, 제지기계, 초지기 "," paper making machine, pulpmachine, papermachine, paper making machine "
"727200","제본기계","binding machine"," 제본기계, 제본기기 "," binding machine "
"727300","지가공기계","machinery for making up paper"," 지가공기계, 트리밍기 "," machinery for making up paper "
"729010","기타산업기계","other special machine"," 기타산업기계, 산업기계, 식품공업용기계, 여과기계, 여과기, 유수분리기, 의류탈수기, 청정기, 담수기, 데미스터, 정수필터샤워기, 공기청정기, 에어리스펌프, 음수기, 정수기, 안경세척기 "," other special machine, purifier, filter, inlet, blasting "
"970200","무기류부품","part arms/part weapon part of arms/part of weapon of"," 개머리판, 건, 격발장치, 기관총, 대포, 라이플, 무기류부품, 미사일, 총몸, 총열, 총포탄, 탄알집 "," weapon, silencer, gunlock, revolver, pistol, butt, rifle "
"727500","제지인쇄기계부품","part of paper making machine, printing machine"," 인쇄기계, 제본기계, 제지기계, 제지인쇄기계부품, 활자주조용기계, 각인기 "," part of paper making machine, printing machine "
"728100","경작기계","machinery for cultivation"," 경작기계, 농기계, 농업용기계, 쇄토기, 쇄토기수레, 스카리파이어, 쟁기, 제초기, 트랙터, 파종기, 방제기 "," machinery for cultivation, plough, scarifiers, weeder, planter, tractor "
"728200","수확탈곡기계","harvester,threshing machinery"," 수확탈곡기계, 탈곡기, 탈곡기계 "," harvester, threshing machinery "
"728300","낙농기계","dairymachine"," 낙농기계, 착유기, 채유기, 밀크미터 "," dairy machine "
"728400","농기계부품","part of agricultural machinery"," 농기계부품, 플라우 "," part of agricultural machinery, plough, mower "
"812710","무선교환기및중계기 무선교환기","Wireless System and Repeater Switching"," 무선교환기, 무선교환기및중계기, 무선교환기 "," wireless system and repeater switching "
"961010","보석 다이아몬드","gem/jewel diamond"," 다이아몬드, 보석, 주얼리, 쥬얼리 "," jewel diamon "
"961020","진주 보석","gem/jewel pearl"," 보석, 보석진주, 진주 "," jewel pearl "
"961090","기타보석 보석","gem/jewel other jewel gem/other"," 기타보석, 루비, 사파이어, 에메랄드 "," other jewel "
"962000","귀금속장식품","accessory precious metal"," 귀금속장식품, 세공품장식품 "," goldaccessory "
"963000","공업용귀금속제품","metal articles precious of industrial"," 공업용귀금속제품, 와이어클로스, 백금도가니 "," platinumcrucible "
"970100","무기류","arms/weapon"," 건, 공기총, 권총, 기관총, 대포, 무기, 무기류, 미사일, 산탄총, 소총, 장총, 총, 총포탄, 탄약, 탄환, 폭약, 수류탄, 전자충격기, 전기충격기 "," arms weapon, sword, bayonet, cutlass, artillery, howitzer, grenade, torpedo, shotgun "
"980000","가발및가눈썹","eyebrow or false wig"," 가발및가눈썹, 눈썹 "," eyebrow false wig "
"990000","기타잡제품","othermiscellaneousarticles other articles miscellaneous"," 기타잡제품, 벨브, 엠씨스퀘어학습보조기기, 잡제품, 전극봉 "," other miscellaneous articles "
"999000","잡제품 기타","Skins and other"," 잡제품, 전시모형, 해부모형, 분필, 초크, 삼각대 "," quill, tripod, bipods, monopods "
"814310","전자계산기","electronic calculator"," 전자계산기 "," electronic calculator "
"814320","전자계산기 전자계산기부품","electronic of part calculator"," 전자계산기부품, 계산기부품 "," part calculator "
"814410","현금자동처리기","or bank note coin treating machine automatic"," 현금입금기, 현금자동입금기, 현금자동지불기, 현금자동지불기포장기, 현금자동처리기 "," coin treating machine "
"814420","현금자동처리기 현금자동처리기부품","or part bank note coin treating of machine automatic"," 현금자동처리기, 현금자동처리기부품 ","part coin treating machine "
"814510","음료자동판매기 자동판매기","beverage machine automatic vending"," 음료자동판매기 "," beveragemachine "
"814520","식품자동판매기 자동판매기","machine automatic vending food"," 식품자동판매기, 라면기계, 라면조리기 "," machine automatic vending food "
"814530","자동판매기 자동판매기부품","part vending of machine automatic"," 자동판매기부품 "," part vending machine automatic "
"814590","기타자동판매기 자동판매기","other machine automatic vending"," 기타자동판매기, 표권발행기 "," other machine automatic vending machine "
"814610","X선및방사선기기","apparatus ray radiation radiationray x-ray and"," 감마사진기, 단층촬영기기, 방사선기기, 엑스선기기, 의료용기기, 의료용촬영장치 "," x-ray andtomography, radiation "
"814620","X선및방사선기기부품 X선및방사선기기","apparatus part ray radiation radiationray x-ray and of"," 방사선기기부품, x선및방사선기기부품 "," apparatus part ray radiation "
"814710","심전계 의료용전자기기","electronic medical instruments electrocardiograph"," 심전계, 의료기계, 의료기기, 의료용기기, 의료용기기심전계, 의료용전자기기, 의료장비 "," electrocardiograph "
"814720","의료용전자기기 초음파영상진단기","apparatus medical scanning electronic instruments ultrasonic"," 영상진단기, 의료기계, 의료기기, 의료용기기, 초음파영상진단기 "," medical scanning, ultrasonic apparatus "
"814730","의료용전자기기 자기공명촬영기","apparatus medical resonance imaging electronic magnetic instruments"," 의료기계, 의료기기, 의료용기기, 의료용전자기기, 자기공명촬영기, MRI "," MRI, magnetic resonance imaging "
"814740","의료용전자기기 청력검사기","electronic medical instruments audiometer"," 의료기계, 의료기기, 의료용기기, 의료장비, 청력검사기 "," electronic medical instruments audiometer "
"814750","의료용전자기기 혈압측정기","electronic medical instruments electro-tonograph"," 의료기계, 의료기기, 의료용기기, 의료용전자기기, 의료장비, 혈압측정기 "," blood pressure measuring devices "
"814760","의료용전자기기 내시경","electronic medical instruments endoscope"," 내시경, 의료용전자기기, 의료장비 "," endoscope, gastroscope, colonofiberscope "
"814770","의료용전자기기 인공신장기","medical artificial electronic instruments kidney"," 의료용전자기기, 의료장비, 인공신장기 "," medical artificial electronic instruments kidney appliance "
"814780","의료용전자기기 의료용전자기기부품","medical part electronic instruments of"," 의료용전자기기부품, 전극봉 "," medical part electronic instruments, electrode "
"814790","의료용전자기기 기타의료용전자기기","electronic other medical instruments"," 기타의료용전자기기, 뇌파계, 레이저, 인공호흡기, 임신진단기, 전기신경자극기, 제세동기 "," electronic other medical instruments, steriliser, pacemaker, defibrillator "
"814810","전자현미경","microscope electron"," 기타전자현미경, 전자현미경, 원자현미경, 광학현미경, 투과전자현미경, 극저온전자현미경 "," microscope, electronmicroscope "
"814820","전자현미경부품 전자현미경","part microscope electron"," 전자현미경, 전자현미경부품, 전자현미경부분품 "," part microscope "
"814910","기타전자응용기기","apparatus application other electron"," 기타전자응용기기, 입자가속기, 전자번역기, 전기파리채, 해충퇴치기, 모기기피제, 모기퇴치제, 분배기 "," apparatus application other electron, particle accelerlator, mosquito repellent "
"814920","기타전자응용기기 기타전자응용기기부품","apparatus other part electron of application"," 기타전자응용기기, 기타전자응용기기부품 "," apparatus other part electron application "
"815110","중량계 계측기","meter weight scale"," 계측기, 계측장비, 저울, 전자저울, 중량계, 환경계측기 "," meter weight scale "
"815120","온도계 계측기","meter thermometer"," 계측기, 계측기고온계, 계측장비, 온도계, 체온계 "," meter thermometer, pyrometer "
"815130","기압계 계측기","meter barometer"," 계측기, 계측기기압계, 계측장비, 기압계 "," meter barometer "
"815140","습도계 계측기","hygrometer meter"," 건습구, 계측기, 계측장비, 습도계 "," hygrometer meter "
"815150","속도계 계측기","meter speedometer"," 계측기, 계측장비, 속도계, 주행거리계, 택시미터 "," meter speedometer "
"815160","유량압력계 계측기","oil meter pressure gauge"," 계측기, 기체유량계, 유량압력계 "," oil meter pressure gauge "
"815170","전기계측기 계측기","meter electrical"," 검류계, 계측기, 계측장비, 전기계측기, 회로계 "," meter electrical "
"815180","계측기 전자계측기","electronic meter"," 갖춘, 검류계, 계측기, 계측기기록장치, 계측장비, 전자계측기 "," electronic meter "
"815190","계측기 기타계측기","other meter"," 각도계, 계측기, 계측장비, 구면계, 기타계측기, 면적계, 음주측정기 "," other meter, goniometer, focimeters, spherometer, dynamometer, breathalyzer, crt "
"746130","어선 선박","boat fishing vessel"," 목조선, 배, 본선, 선박, 선박어선, 어선, 철강선 "," boat fishing vessel "
"746140","선박 요트","vessel yacht"," 배, 선박, 요트, 요트선박 "," vessel yacht, sailboat "
